City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
469,Navrongo,GH,10.8956,-1.0921,88.5,47,40,9.78,scattered clouds
470,Shilovo,RU,54.3204,40.874,57.18,82,8,6.11,clear sky
471,Tazmalt,DZ,36.3868,4.3989,68.76,85,0,5.44,clear sky
472,Cap Malheureux,MU,-19.9842,57.6142,68.47,78,38,3.0,light rain
473,Wundanyi,KE,-3.4019,38.364,57.54,90,87,6.2,overcast clouds
474,Lompoc,US,34.6391,-120.4579,90.7,54,0,10.36,clear sky
475,Chino Valley,US,34.7575,-112.4538,96.62,16,0,11.5,clear sky
476,Port Macquarie,AU,-31.4333,152.9167,53.89,61,0,7.87,clear sky
477,Aleksandrov Gay,RU,50.147,48.5704,63.77,69,71,6.26,broken clouds
478,Freeport,US,40.6576,-73.5832,80.58,52,0,17.27,clear sky
479,Nkan,GA,0.3833,9.7833,73.11,95,57,2.55,light rain
480,Ayan,RU,56.45,138.1667,43.16,90,99,15.05,overcast clouds
481,Halifax,CA,44.6453,-63.5724,60.69,98,100,17.27,heavy intensity rain
482,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,92,99,1.54,overcast clouds
483,Ramsar,IR,36.9226,50.6426,72.09,73,0,7.34,clear sky
484,Stuttgart,DE,48.7823,9.177,56.05,89,0,3.44,clear sky
485,Pak Phanang,TH,8.3511,100.202,79.02,83,72,3.4,broken clouds
486,Holme,DK,56.1138,10.1725,58.57,86,45,10.89,scattered clouds
487,Reconquista,AR,-29.15,-59.65,57.85,71,38,7.58,scattered clouds
488,Ust-Maya,RU,60.4167,134.5333,64.8,73,64,3.13,broken clouds
489,Tukums,LV,56.9669,23.1553,61.95,86,94,2.93,overcast clouds
490,Mogoytuy,RU,51.2833,114.9167,60.66,70,76,4.52,broken clouds
491,Souillac,MU,-20.5167,57.5167,70.77,76,4,13.42,clear sky
492,Katima Mulilo,NA,-17.5,24.2667,53.62,80,0,4.36,clear sky
493,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.72,31,25,2.89,scattered clouds
494,San Carlos,VE,9.6612,-68.5827,77.27,79,90,3.71,overcast clouds
495,Sembe,CG,1.6481,14.5806,69.6,93,47,0.92,scattered clouds
496,Dois Vizinhos,BR,-25.7336,-53.0572,59.02,99,100,1.25,heavy intensity rain
497,Krutaya Gorka,RU,55.3649,73.2231,56.88,88,36,3.44,scattered clouds
498,Kirkwall,GB,58.9848,-2.9587,53.96,90,95,15.21,overcast clouds
499,Yantal,RU,56.8471,105.2542,55.92,59,56,2.1,broken clouds
500,Hambantota,LK,6.1241,81.1185,79.95,82,100,17.07,overcast clouds
501,Merauke,ID,-8.4667,140.3333,78.78,87,99,12.24,overcast clouds
502,Cajati,BR,-24.7361,-48.1228,63.81,99,100,1.12,moderate rain
503,Horsham,GB,51.064,-0.3272,61.11,90,100,10.42,overcast clouds
504,Vardo,NO,70.3705,31.1107,42.78,87,100,2.3,overcast clouds
505,Bacalar,MX,18.6667,-88.3833,86.11,74,75,17.27,broken clouds
506,Huilong,CN,31.8111,121.655,71.92,85,100,12.15,overcast clouds
507,Verkhnevilyuysk,RU,63.4453,120.3167,57.87,78,68,11.68,broken clouds
508,Lavrentiya,RU,65.5833,-171.0,48.09,50,14,6.17,few clouds
509,Challapata,BO,-18.9,-66.7667,38.14,21,0,3.4,clear sky
510,Plettenberg Bay,ZA,-34.0527,23.3716,55.99,82,1,3.42,clear sky
511,Palmer,US,42.1584,-72.3287,74.75,58,40,14.97,scattered clouds
512,Mastic Beach,US,40.7668,-72.8521,80.17,53,0,12.66,clear sky
513,Vega De Alatorre,MX,20.0333,-96.6333,85.28,69,100,12.48,overcast clouds
514,Sorland,NO,67.667,12.6934,44.46,70,6,12.24,clear sky
515,Belle Fourche,US,44.6714,-103.8522,78.49,41,83,11.74,broken clouds
516,Prince Rupert,CA,54.3161,-130.3201,55.53,83,100,3.89,light rain
517,Portel,BR,-1.9356,-50.8211,75.0,94,100,0.85,overcast clouds
518,Chapleau,CA,47.8405,-83.4034,53.69,87,100,12.66,light intensity shower rain
519,Mbouda,CM,5.6258,10.2552,61.05,92,65,1.1,broken clouds
520,Bulawayo,ZW,-20.15,28.5833,47.37,70,0,7.52,clear sky
521,Gornopravdinsk,RU,60.05,69.9,51.26,94,31,4.97,scattered clouds
522,Vuktyl,RU,63.8567,57.3094,56.19,47,27,3.29,scattered clouds
523,Riyadh,SA,24.6877,46.7219,91.35,9,0,4.34,clear sky
524,Falkenberg,SE,56.9055,12.4912,59.27,94,78,6.64,broken clouds
525,Svetlogorsk,BY,52.6333,29.7333,61.79,86,7,6.06,clear sky
526,Usinsk,RU,65.9939,57.5281,57.04,59,20,10.96,few clouds
527,Luau,AO,-10.7073,22.2247,55.31,61,31,3.8,scattered clouds
528,Kampong Chhnang,KH,12.1667,104.55,78.96,82,79,1.16,broken clouds
529,Port Hedland,AU,-20.3167,118.5667,71.65,43,69,10.36,broken clouds
530,Dalvik,IS,65.9702,-18.5286,51.67,73,44,1.1,scattered clouds
531,Turriff,GB,57.5384,-2.4593,57.74,70,86,10.18,overcast clouds
532,Zhigansk,RU,66.7697,123.3711,63.7,61,47,4.14,scattered clouds
533,Paita,PE,-5.0892,-81.1144,66.45,81,14,16.91,few clouds
534,Ahuimanu,US,21.4447,-157.8378,87.51,58,100,14.97,overcast clouds
535,Valparaiso,CL,-33.0393,-71.6273,56.84,79,0,2.3,clear sky
536,Pandamatenga,BW,-18.5278,25.627,55.22,71,25,2.93,scattered clouds
537,Ola,RU,59.5833,151.2833,44.15,97,100,15.48,moderate rain
538,Tekeli,KZ,44.83,78.8239,62.83,46,63,9.53,broken clouds
539,Pemangkat,ID,1.1667,108.9667,76.84,90,98,4.83,overcast clouds
540,Ayagoz,KZ,47.9714,80.4392,64.33,40,3,5.1,clear sky
541,Lata,PT,40.1629,-8.3327,67.08,85,74,1.3,broken clouds
542,Mukhen,RU,48.1,136.1,53.98,85,66,6.31,broken clouds
543,Harfleur,FR,49.5066,0.1983,65.35,68,100,3.44,overcast clouds
544,Mpika,ZM,-11.8343,31.4529,50.22,96,60,7.31,broken clouds
545,Lembeni,TZ,-3.7833,37.6167,60.39,87,66,2.57,broken clouds
546,Inuvik,CA,68.3499,-133.7218,48.09,40,68,5.53,broken clouds
547,Dutlwe,BW,-23.9833,23.9,52.54,37,0,6.22,clear sky
548,Bac Lieu,VN,9.285,105.7244,81.01,81,100,8.41,moderate rain
549,Caxito,AO,-8.5785,13.6643,67.14,96,6,2.57,clear sky
550,Chifeng,CN,42.2683,118.9636,60.91,75,99,2.37,overcast clouds
551,Alegrete,BR,-29.7831,-55.7919,59.31,89,77,5.53,broken clouds
552,Vallenar,CL,-28.5708,-70.7581,61.79,55,2,1.63,clear sky
553,Kodinsk,RU,58.6881,99.1844,56.25,60,80,0.65,broken clouds
554,Flin Flon,CA,54.7682,-101.865,72.28,29,72,7.87,broken clouds
555,Qianan,CN,44.9932,124.0581,64.87,65,13,3.8,few clouds
556,Olafsvik,IS,64.8945,-23.7142,49.62,77,100,21.47,overcast clouds
557,Volary,CZ,48.9088,13.8866,55.22,96,100,4.09,overcast clouds
558,Aquidauana,BR,-20.4711,-55.7872,69.8,93,100,2.73,moderate rain
559,Koungou,YT,-12.7336,45.2042,74.91,83,0,6.91,clear sky
560,Snasa,NO,64.2457,12.3778,44.31,82,61,1.12,broken clouds
561,Otane,NZ,-39.8833,176.6333,61.02,67,12,16.2,few clouds
562,Chicama,PE,-7.8447,-79.1469,66.4,79,33,7.63,scattered clouds
563,Elizabeth City,US,36.2946,-76.2511,87.82,49,0,10.36,clear sky
564,Arlit,NE,18.7369,7.3853,89.62,11,1,8.68,clear sky
565,Kathu,TH,7.9178,98.3332,85.69,83,93,9.22,light rain
566,La Uvita,CO,6.3168,-72.5603,56.25,92,91,2.95,overcast clouds
567,North Myrtle Beach,US,33.816,-78.68,86.07,81,100,12.66,overcast clouds
568,Nago,JP,26.5881,127.9761,75.63,95,100,7.96,overcast clouds
569,Bludenz,AT,47.1497,9.8167,54.46,88,98,5.01,overcast clouds
570,Along,IN,28.1667,94.7667,72.55,99,100,0.96,overcast clouds
571,Mackay,AU,-21.15,149.2,58.68,55,1,12.44,clear sky
572,Eyemouth,GB,55.8713,-2.0901,60.24,90,92,8.14,overcast clouds
573,Byron Bay,AU,-28.65,153.6167,53.71,59,0,6.96,clear sky
574,Eureka,US,40.8021,-124.1637,88.75,45,100,5.17,overcast clouds
575,Totness,SR,5.8833,-56.3167,77.81,87,83,7.11,broken clouds
576,Belaya Gora,RU,68.5333,146.4167,49.57,71,100,7.92,overcast clouds
577,Siwana,IN,25.6333,72.4167,80.31,68,1,13.2,clear sky
578,Pierre,US,44.3683,-100.351,72.86,64,100,11.5,overcast clouds
579,Calvinia,ZA,-31.4707,19.776,52.81,41,1,5.06,clear sky
580,Yerofey Pavlovich,RU,53.9667,121.9667,66.06,46,42,2.24,scattered clouds
581,Tutoia,BR,-2.7619,-42.2744,76.41,89,57,8.21,broken clouds
582,Novokruchininskiy,RU,51.7833,113.7667,58.6,81,100,1.61,overcast clouds
583,Batagay,RU,67.6333,134.6333,56.19,27,5,5.14,clear sky
584,Florence,IT,43.7667,11.25,70.23,55,75,2.3,broken clouds
585,Coihaique,CL,-45.5752,-72.0662,34.41,69,20,3.44,few clouds
586,Chiredzi,ZW,-21.05,31.6667,53.47,68,0,2.19,clear sky
587,Port Moresby,PG,-9.4431,147.1797,78.85,82,98,3.33,overcast clouds
588,Luzhou,CN,28.8724,105.4405,69.24,96,89,1.74,overcast clouds
589,Great Falls,US,47.5002,-111.3008,78.67,22,40,16.11,scattered clouds
590,Sergeyevka,KZ,53.88,67.4158,56.73,58,79,3.83,broken clouds
591,Les Cayes,HT,18.2,-73.75,79.83,80,100,7.0,overcast clouds
592,Umea,SE,63.8284,20.2597,48.9,100,52,0.0,fog
593,Naze,JP,28.3667,129.4833,71.85,87,100,10.38,overcast clouds
594,Thabazimbi,ZA,-24.5917,27.4116,52.65,39,0,1.21,clear sky
595,Mizdah,LY,31.4451,12.9801,76.28,47,37,9.57,scattered clouds
596,Georgiyevka,KZ,43.0369,74.7114,69.84,49,40,6.71,scattered clouds
597,Illintsi,UA,49.1048,29.2177,60.17,82,78,5.14,broken clouds
598,Pushkino,RU,56.0172,37.8667,68.29,95,89,4.59,overcast clouds
599,Kabanjahe,ID,3.1001,98.4908,61.65,95,86,0.67,moderate rain
600,Mount Gambier,AU,-37.8333,140.7667,52.66,83,100,11.1,overcast clouds
601,Zyryanka,RU,65.75,150.85,45.84,72,99,3.71,overcast clouds
602,Kathmandu,NP,27.7167,85.3167,71.82,94,75,2.3,broken clouds
603,Sarmellek,HU,46.7122,17.1687,62.53,82,0,18.41,moderate rain
604,Taoudenni,ML,22.6783,-3.9836,95.92,17,6,8.46,clear sky
605,Margate,GB,51.3813,1.3862,59.31,83,98,5.01,overcast clouds
606,Bozeman,US,45.6796,-111.0386,75.2,33,20,6.91,few clouds
607,Salinopolis,BR,-0.6136,-47.3561,77.7,88,100,9.1,overcast clouds
608,Hay River,CA,60.8156,-115.7999,64.36,63,75,6.91,broken clouds
609,Maroantsetra,MG,-15.4333,49.7333,71.02,79,97,5.91,light rain
610,Lenoir City,US,35.7973,-84.256,81.19,50,1,3.0,clear sky
611,Montanha,BR,-18.1269,-40.3633,67.33,87,0,7.2,clear sky
612,Nerang,AU,-27.9833,153.3333,54.63,74,0,1.99,clear sky
613,Guerrero Negro,MX,27.9769,-114.0611,74.77,56,3,14.38,clear sky
614,Isla Aguada,MX,18.7833,-91.4667,84.24,76,100,9.62,overcast clouds
615,Leskovik,AL,40.1514,20.5972,55.62,93,98,4.38,overcast clouds
616,Vertientes,CU,21.2594,-78.1464,75.81,73,85,4.29,overcast clouds
617,Union,US,40.6334,-74.2663,79.05,51,40,13.8,scattered clouds
618,Abashiri,JP,44.0213,144.2697,61.09,72,40,17.27,scattered clouds
619,Khash,IR,28.2211,61.2158,77.0,15,0,2.53,clear sky
620,Mezhdurechensk,RU,53.6942,88.0603,43.21,75,77,3.62,broken clouds
621,Srandakan,ID,-7.9386,110.2506,74.89,88,92,4.5,overcast clouds
622,Lloydminster,CA,53.2835,-110.0016,68.83,49,19,7.65,few clouds
623,Marsa Matruh,EG,31.3525,27.2453,74.28,67,0,4.72,clear sky
624,Sakaiminato,JP,35.55,133.2333,66.6,80,5,4.59,clear sky
625,Padang,ID,-0.9492,100.3543,73.45,90,100,5.37,overcast clouds
626,Kifri,IQ,34.6959,44.9661,84.61,21,0,9.22,clear sky
627,Kichmengskiy Gorodok,RU,59.9816,45.7854,58.75,74,100,3.36,overcast clouds
628,La Paz,BO,-16.5,-68.15,44.58,16,20,4.61,few clouds
629,Cedarburg,US,43.2967,-87.9876,74.32,43,75,9.22,broken clouds
630,Oriximina,BR,-1.7656,-55.8661,76.66,89,92,2.33,light rain
631,Haicheng,CN,40.8516,122.7475,64.36,84,87,5.28,overcast clouds
632,Yumen,CN,40.2833,97.2,67.28,13,0,7.31,clear sky
633,Sokoni,TZ,-6.4333,39.55,78.69,76,85,17.09,overcast clouds
634,Tazovskiy,RU,67.4667,78.7,53.83,65,76,6.6,broken clouds
635,Ladovskaya Balka,RU,45.6297,41.4023,62.31,64,92,1.5,overcast clouds
636,Illela,NG,13.7292,5.2975,95.41,20,6,6.4,clear sky
637,Neiba,DO,18.5,-71.4167,82.98,59,100,8.61,overcast clouds
638,Kingman,US,35.1894,-114.053,102.18,8,0,19.57,clear sky
639,Vikulovo,RU,56.8167,70.6107,53.47,89,30,6.44,scattered clouds
640,Kieta,PG,-6.2167,155.6333,82.72,71,37,3.78,scattered clouds
641,Brigantine,US,39.4101,-74.3646,80.02,49,0,16.11,clear sky
642,Qasigiannguit,GL,68.8193,-51.1922,41.25,73,69,3.98,broken clouds
643,Sokoto,NG,13.0609,5.239,94.42,22,8,5.97,clear sky
644,Waterford,US,42.7023,-83.4027,73.99,65,75,11.5,heavy intensity rain
645,Barguzin,RU,53.6167,109.6167,56.55,81,36,0.4,scattered clouds
646,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,75,14.97,broken clouds
647,Qaqortoq,GL,60.7167,-46.0333,41.54,79,2,6.15,clear sky
648,Nenjiang,CN,49.1833,125.2167,65.26,75,11,8.52,few clouds
649,Nuuk,GL,64.1835,-51.7216,43.41,65,75,13.8,broken clouds
650,Nankana Sahib,PK,31.4475,73.6972,92.55,12,8,2.73,clear sky
651,Dembi Dolo,ET,8.5333,34.8,55.94,86,60,3.85,broken clouds
652,Ozernovskiy,RU,51.5,156.5167,46.02,86,99,9.15,overcast clouds
653,Pocoes,BR,-14.5297,-40.3653,61.86,68,0,4.45,clear sky
654,Champerico,GT,14.3,-91.9167,82.02,76,100,8.12,overcast clouds
655,Ust-Kuyga,RU,70.0167,135.6,57.51,36,0,11.56,clear sky
656,Kozhevnikovo,RU,56.2589,83.9714,50.25,69,100,4.65,overcast clouds
657,Chara,RU,56.9064,118.2631,63.0,66,89,4.74,overcast clouds
658,Alyangula,AU,-13.8483,136.4192,72.86,58,55,17.85,broken clouds
659,Derzhavinsk,KZ,51.1,66.3167,61.05,42,38,7.16,scattered clouds
660,Taunggyi,MM,20.7833,97.0333,62.83,98,100,4.25,overcast clouds
661,Kuantan,MY,3.8077,103.326,75.38,92,55,3.58,broken clouds
662,Kjollefjord,NO,70.9457,27.3465,41.61,81,86,18.48,light rain
663,Barra,BR,-11.0894,-43.1417,77.43,42,100,1.83,overcast clouds
664,Fare,PF,-16.7,-151.0167,79.27,74,26,6.67,moderate rain
665,Djibo,BF,14.1022,-1.6306,95.72,12,1,7.05,clear sky
666,Mujiayingzi,CN,42.1167,118.7833,59.72,80,96,1.54,overcast clouds
667,Mumford,GH,5.2618,-0.759,78.55,85,36,8.41,light rain
668,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,38,0,10.36,clear sky
669,Namatanai,PG,-3.6667,152.4333,82.74,68,13,3.74,few clouds
670,Rujewa,TZ,-8.7,34.3833,61.61,65,16,8.01,few clouds
671,Saint-Georges,GD,12.0564,-61.7485,82.08,78,75,17.27,broken clouds
672,Winslow,US,35.0242,-110.6974,98.78,8,0,14.97,clear sky
673,Lasa,IT,46.6166,10.7002,52.36,92,93,8.77,overcast clouds
674,Atambua,ID,-9.1061,124.8925,73.24,86,98,5.19,overcast clouds
675,Tessalit,ML,20.1986,1.0114,92.7,10,61,10.45,broken clouds
676,Vetluzhskiy,RU,58.3902,45.4654,54.36,81,97,4.7,overcast clouds
677,Saint-Francois,FR,46.4154,3.9054,51.67,93,0,0.0,clear sky
678,Carutapera,BR,-1.195,-46.02,75.09,93,83,6.06,moderate rain
679,Lufilufi,WS,-13.8745,-171.5986,86.79,77,31,18.7,light rain
680,Tete,MZ,-16.1564,33.5867,64.49,100,75,0.0,broken clouds
681,Kemijarvi,FI,66.7131,27.4306,44.42,94,47,3.13,scattered clouds
682,Puerto Leguizamo,CO,-0.1934,-74.7819,75.04,97,99,1.45,overcast clouds
683,Teguldet,RU,57.3064,88.1667,49.46,78,87,7.02,overcast clouds
684,Jutai,BR,-5.1833,-68.9,76.15,88,63,2.71,broken clouds
685,Dao,PH,11.3937,122.6856,82.02,85,40,1.57,scattered clouds
686,Roma,US,43.2128,-75.4557,62.82,78,100,11.5,overcast clouds
687,Mucurapo,TT,10.6667,-61.5333,81.97,82,61,9.75,broken clouds
688,Sun City West,US,33.662,-112.3413,111.11,14,20,9.22,few clouds
689,Korhogo,CI,9.45,-5.6333,72.54,89,50,6.51,moderate rain
690,Balikpapan,ID,-1.2675,116.8289,74.3,92,90,4.23,overcast clouds
691,Vytegra,RU,61.0064,36.4481,52.86,87,5,8.46,clear sky
692,San Fernando,PH,15.0286,120.6898,82.35,78,96,2.64,overcast clouds
693,Stirling,GB,56.119,-3.9368,59.36,89,100,8.16,overcast clouds
694,Maragogi,BR,-9.0122,-35.2225,76.35,85,17,6.11,few clouds
695,Portree,GB,57.4129,-6.1942,57.52,82,96,15.19,overcast clouds
696,Oneonta,US,42.4529,-75.0638,62.83,88,75,10.33,broken clouds
697,Yahotyn,UA,50.2798,31.7625,61.09,81,37,7.38,scattered clouds
698,Aszalo,HU,48.2167,20.9667,62.71,85,39,4.29,scattered clouds
699,Joshimath,IN,30.5667,79.5667,64.71,52,44,5.41,scattered clouds
700,Goma,CD,-1.6792,29.2228,62.13,91,96,1.83,light rain
701,Conde,BR,-7.2597,-34.9075,74.66,100,0,3.44,clear sky
